Date,Open,High,Low,Close,Adj Close,Volume
Jun 03 2019,37.10,37.34,35.40,35.79,35.79,65322000
May 31 2019,37.02,37.98,36.82,37.03,37.03,52033500
May 30 2019,37.75,38.45,37.40,37.64,37.64,39632500
May 29 2019,37.42,38.48,37.01,37.97,37.97,59843000
May 28 2019,38.24,39.00,37.57,37.74,37.74,51564500
May 24 2019,39.97,40.00,37.75,38.13,38.13,70683000
May 23 2019,38.87,39.89,37.24,39.10,39.10,132735500
May 22 2019,39.82,40.79,38.36,38.55,38.55,93426000
May 21 2019,39.55,41.48,39.21,41.02,41.02,90019500
May 20 2019,40.56,41.20,39.05,41.07,41.07,102631000
May 17 2019,44.39,44.45,41.78,42.21,42.21,88933500
May 16 2019,45.90,46.20,45.30,45.67,45.67,37416500
May 15 2019,45.86,46.49,45.05,46.39,46.39,36480000
May 14 2019,45.86,46.90,45.60,46.46,46.46,36262000
May 13 2019,46.40,46.49,44.90,45.40,45.40,54174000
May 10 2019,47.95,48.40,47.20,47.90,47.90,35041500
May 09 2019,48.40,48.74,47.39,48.40,48.40,33557000
May 08 2019,49.39,50.12,48.84,48.97,48.97,30882000
May 07 2019,51.36,51.44,49.02,49.41,49.41,50657000
May 06 2019,50.00,51.67,49.70,51.07,51.07,54169500
May 03 2019,48.77,51.32,48.70,51.01,51.01,118534000
May 02 2019,49.10,49.43,47.54,48.82,48.82,90796500
May 01 2019,47.77,48.00,46.30,46.80,46.80,53522000
Apr 30 2019,48.41,48.84,47.40,47.74,47.74,47323000
Apr 29 2019,47.17,48.80,46.43,48.29,48.29,83572500
Apr 26 2019,49.30,49.34,46.23,47.03,47.03,111803500
Apr 25 2019,51.00,51.80,49.21,49.53,49.53,109247000
Apr 24 2019,52.77,53.06,51.60,51.73,51.73,53637500
Apr 23 2019,52.03,53.12,51.15,52.78,52.78,54719500
Apr 22 2019,53.80,53.94,52.50,52.55,52.55,60735500
Apr 18 2019,54.25,54.97,53.95,54.65,54.65,29381500
Apr 17 2019,54.95,54.96,53.71,54.25,54.25,25632500
Apr 16 2019,53.15,55.00,52.94,54.67,54.67,36364500
Apr 15 2019,53.73,53.78,51.73,53.28,53.28,50193000
Apr 12 2019,54.04,54.39,53.37,53.54,53.54,33730000
Apr 11 2019,53.66,54.10,53.12,53.68,53.68,49179500
Apr 10 2019,55.35,55.68,54.58,55.21,55.21,35306500
Apr 09 2019,54.33,55.00,53.92,54.46,54.46,29520000
Apr 08 2019,55.54,56.23,54.09,54.64,54.64,52052000
Apr 05 2019,53.97,55.22,53.22,54.99,54.99,65191500
Apr 04 2019,52.38,54.24,52.12,53.56,53.56,118603500
Apr 03 2019,57.46,59.23,57.43,58.36,58.36,39597000
Apr 02 2019,57.66,57.89,56.78,57.18,57.18,27394500
Apr 01 2019,56.52,57.84,56.26,57.84,57.84,40552000
Mar 29 2019,55.74,56.03,54.90,55.97,55.97,29956500
Mar 28 2019,55.43,56.07,55.02,55.72,55.72,33870500
Mar 27 2019,53.75,55.07,53.64,54.97,54.97,43896000
Mar 26 2019,52.89,54.05,52.89,53.55,53.55,36754500
Mar 25 2019,51.94,52.64,50.89,52.08,52.08,51075000
Mar 22 2019,54.52,54.56,52.80,52.91,52.91,43728000
Mar 21 2019,54.52,55.29,53.69,54.80,54.80,29735500
Mar 20 2019,53.94,54.99,53.26,54.72,54.72,34541000
Mar 19 2019,53.50,54.66,52.69,53.49,53.49,59003000
Mar 18 2019,55.20,55.61,53.46,53.90,53.90,51405000
Mar 15 2019,56.70,56.74,54.88,55.09,55.09,73927500
Mar 14 2019,58.49,59.08,57.66,57.99,57.99,35517000
Mar 13 2019,56.78,58.40,56.54,57.79,57.79,34223500
Mar 12 2019,57.30,57.61,56.21,56.67,56.67,37520500
Mar 11 2019,56.70,58.26,56.10,58.18,58.18,36961500
Mar 08 2019,55.38,57.12,55.18,56.83,56.83,44098000
Mar 07 2019,55.77,56.94,54.85,55.32,55.32,47212500
Mar 06 2019,55.30,56.30,54.88,55.25,55.25,51677500
Mar 05 2019,56.40,56.80,54.02,55.31,55.31,93823500
Mar 04 2019,59.62,59.80,56.56,57.07,57.07,85484000
Mar 01 2019,61.39,61.43,58.38,58.96,58.96,114557000
Feb 28 2019,63.78,64.00,62.16,63.98,63.98,52603500
Feb 27 2019,60.36,63.26,60.11,62.95,62.95,55919500
Feb 26 2019,58.44,60.40,57.75,59.57,59.57,42912500
Feb 25 2019,59.58,60.58,59.40,59.75,59.75,33132500
Feb 22 2019,58.90,59.30,58.42,58.94,58.94,28703000
Feb 21 2019,60.36,60.65,58.10,58.25,58.25,44546000
Feb 20 2019,60.88,61.26,59.80,60.51,60.51,35710500
Feb 19 2019,61.31,62.31,61.09,61.13,61.13,20842000
Feb 15 2019,60.90,61.60,60.78,61.58,61.58,19524500
Feb 14 2019,60.68,61.35,60.20,60.75,60.75,26004000
Feb 13 2019,62.47,62.55,61.11,61.63,61.63,25708000
Feb 12 2019,63.24,63.64,61.92,62.36,62.36,27588000
Feb 11 2019,62.32,63.72,62.10,62.57,62.57,35648500
Feb 08 2019,61.37,61.49,59.70,61.16,61.16,29221000
Feb 07 2019,62.66,62.94,60.60,61.50,61.50,32603000
Feb 06 2019,63.92,64.85,63.12,63.44,63.44,25192500
Feb 05 2019,62.50,64.49,62.45,64.27,64.27,33714000
Feb 04 2019,62.60,63.06,60.38,62.58,62.58,36760500
Feb 01 2019,61.08,63.22,60.70,62.44,62.44,36417000
Jan 31 2019,60.20,62.31,58.80,61.40,61.40,62846000
Jan 30 2019,60.09,61.80,59.70,61.75,61.75,56251500
Jan 29 2019,59.05,59.71,58.36,59.49,59.49,23108500
Jan 28 2019,58.58,59.49,57.55,59.28,59.28,32116500
Jan 25 2019,58.88,59.70,57.91,59.41,59.41,36248000
Jan 24 2019,56.61,58.74,55.86,58.30,58.30,40061000
Jan 23 2019,58.50,58.90,56.34,57.52,57.52,62650000
Jan 22 2019,60.96,61.60,59.10,59.78,59.78,60333500
Jan 18 2019,64.60,65.43,59.95,60.45,60.45,120754000
Jan 17 2019,69.24,70.30,68.83,69.46,69.46,18383500
Jan 16 2019,68.96,70.40,68.70,69.21,69.21,23458500
Jan 15 2019,67.00,69.76,66.90,68.89,68.89,30283000
Jan 14 2019,68.48,68.50,66.80,66.88,66.88,26236500
Jan 11 2019,68.42,69.68,67.75,69.45,69.45,25195500
Jan 10 2019,66.88,69.08,66.36,68.99,68.99,30282000
Jan 09 2019,67.10,68.70,66.29,67.71,67.71,27164500
Jan 08 2019,68.39,68.80,65.40,67.07,67.07,35042500
Jan 07 2019,64.34,67.35,63.55,66.99,66.99,37756000
Jan 04 2019,61.20,63.60,60.55,63.54,63.54,36970500
Jan 03 2019,61.40,61.88,59.48,60.07,60.07,34826000
Jan 02 2019,61.22,63.03,59.76,62.02,62.02,58293000
Dec 31 2018,67.56,67.84,65.05,66.56,66.56,31511500
Dec 28 2018,64.62,67.25,63.68,66.77,66.77,49695000
Dec 27 2018,63.97,64.43,60.30,63.23,63.23,42875500
Dec 26 2018,60.00,65.39,58.82,65.22,65.22,40815500
Dec 24 2018,62.70,62.90,59.04,59.08,59.08,27799500
Dec 21 2018,63.48,64.69,62.49,63.95,63.95,40084000
Dec 20 2018,65.41,66.06,62.37,63.08,63.08,45359500
Dec 19 2018,67.52,69.40,65.95,66.59,66.59,41371000
Dec 18 2018,70.11,70.31,66.74,67.41,67.41,35500000
Dec 17 2018,72.40,73.14,68.78,69.68,69.68,38370000
Dec 14 2018,75.00,75.57,72.87,73.14,73.14,31688000
Dec 13 2018,74.03,75.49,73.35,75.36,75.36,36829500
Dec 12 2018,73.88,74.38,73.03,73.32,73.32,25135000
Dec 11 2018,73.98,74.43,72.05,73.35,73.35,31544000
Dec 10 2018,72.00,73.20,70.62,73.03,73.03,33067500
